audit_stratum,source_notice_id,candidate_notice_id,gbm_candidate_notice_id,composite_candidate_notice_id,buyer_name,buyer_key_type,buyer_n_sources,source_date,candidate_date,gap_months,source_text,candidate_text,source_cpv,category_label,duration_imputed,s_text,s_cpv,s_time,s_buyer,composite_score,gbm_score,top1_top2_margin,n_candidates_for_source,gbm_decision,composite_decision,reason_code,rule_version,benchmark_version,reviewer_label,reviewer_confidence,reviewer_notes,review_date,needs_second_review
censored_no_candidate,20-130599,,,,Ville d'Alençon,NAME_FALLBACK,4,2020-10-23,None,,"Numéro de la consultation : 1_2020047 Travaux d'électricité et de câblage informatique pour la réhabilitation, l'aménagement et/ou la construction de bâtiments de la Ville d'Alençon",,45311100.0,DIGITAL_ICT,True,,,,,,,,0,NO_CANDIDATE,NO_CANDIDATE,CENSORED_NO_CANDIDATE,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,,,,,
censored_no_candidate,21-162413,,,,Ville d'Avrillé,NAME_FALLBACK,4,2021-12-10,None,,"Travaux d'extension, de rénovation et d'entretien du dispositif de vidéoprotection de la ville d'Avrillé",,32323500.0,DIGITAL_ICT,True,,,,,,,,0,NO_CANDIDATE,NO_CANDIDATE,CENSORED_NO_CANDIDATE,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,,,,,
censored_no_candidate,22-28144,,,,Vendée Expansion,RAW_SIRET,5,2022-02-23,None,,Mise à disposition d'une plateforme de marketing conversationnel,,72500000.0,DIGITAL_ICT,True,,,,,,,,0,NO_CANDIDATE,NO_CANDIDATE,CENSORED_NO_CANDIDATE,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,,,,,
composite_only,17-100105,18-38591,,18-38591,Commune de Saint-Nazaire,NAME_FALLBACK,24,2017-07-20,2018-03-21,8.015768725361367,17s0056 - renouvellement des infrastructures de stockage informatique,18s0029- acquisition et maintenance d'un logiciel de gestion d'activités pour l'espace public pour la ville de saint nazaire et la carene (groupement de commande-coordonnateur ville de saint-nazaire),48000000.0,DIGITAL_ICT,True,0.0086704414364059,1.0,0.6824353920280333,0.6,0.5336435025097503,,0.0015325155547349,9,NOT_LINKED,LINKED,COMPOSITE_ONLY,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,,,,,
composite_only,19-87996,19-118070,,19-118070,MAUGES COMMUNAUTE,NAME_FALLBACK,7,2019-06-06,2019-07-29,1.7411300919842312,Fourniture de matériels informatiques,Fourniture de matériels informatiques,,DIGITAL_ICT,True,1.0000000000000002,0.1,0.2882172579938676,0.6,0.5120543144984668,,0.2879888958855233,3,NOT_LINKED,LINKED,COMPOSITE_ONLY,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,,,,,
composite_only,19-101998,20-52194,,20-52194,Mairie de Coueron,NAME_FALLBACK,10,2019-07-04,2020-04-14,9.362680683311432,Refonte de l'infrastructure du système d'information de la ville de Couëron,Acquisition de licences informatiques 'Microsoft' 2020-2022 pour la ville de Couëron,30200000.0,DIGITAL_ICT,True,0.3146359877500213,0.1,0.7809899255365746,0.6,0.3953700770966511,,0.1991933728333312,2,NOT_LINKED,LINKED,COMPOSITE_ONLY,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,,,,,
composite_only,24-24049,24-141111,,24-141111,CHU NANTES,RAW_SIRET,28,2024-02-28,2024-12-18,9.658344283837057,"Fourniture, intégration, maintenance et ingénierie de solutions de systèmes d'appel malades pour le compte des centres hospitaliers membres du GHT 44","Fourniture, installation, paramétrage, intégration, déploiement et maintenance d'une solution de gestion de stock et préparation du chariot d'intervention pour les futurs blocs opératoires de l'Ile de",32510000.0,DIGITAL_ICT,False,0.0385155481293179,0.0,0.9342969776609724,1.0,0.3470546862605044,,0.0013688129653963,13,NOT_LINKED,LINKED,COMPOSITE_ONLY,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,,,,,
gbm_and_composite,15-192276,16-94711,16-94711,16-94711,Vendée Eau,NAME_FALLBACK,16,2016-02-05,2016-07-04,4.92772667542707,création d'un système d'information des données abonnés et patrimoine du service public d'eau potable (relance de la procédure à la suite d'une déclaration sans suite) à La Roche- sur-Yon,Développement d'un outil de gestion dynamique des retenues - Département de la Vendée,48900000.0,DIGITAL_ICT,True,0.0367841550534658,1.0,0.1841874726237407,0.6,0.4189213224246482,0.9349229833995556,0.0945803920689609,3,LINKED,LINKED,GBM_AND_COMPOSITE,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,,,,,
gbm_and_composite,17-134974,18-73911,18-73911,18-73911,ville de Bouchemaine,NAME_FALLBACK,3,2017-09-25,2018-06-07,8.377135348226018,Fourniture et maintenance de logiciels métiers de la commune de Bouchemaine,fourniture et maintenance d'un logiciel métier finances pour la commune de bouchemaine,,DIGITAL_ICT,True,0.5278759841311622,0.1,0.5948313622426631,0.6,0.4234644350065725,0.5351223228708686,0.4234644350065725,1,LINKED,LINKED,GBM_AND_COMPOSITE,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,,,,,
gbm_and_composite,20-118247,21-76512,21-76512,21-76512,Commune de Saint-Herblain,NAME_FALLBACK,22,2020-09-30,2021-06-09,8.278580814717477,Maintenance et prestations associées pour les logiciels de sécurité périmétriques et postes clients de la Ville de Saint-Herblain,Installation et maintenance des dispositifs de télésurveillance des équipements municipaux de la Ville de Saint-Herblain,72250000.0,DIGITAL_ICT,True,0.2093452826113215,1.0,0.8412176960140166,0.6,0.6435752729174666,0.94025726326149,0.2170994389829086,6,LINKED,LINKED,GBM_AND_COMPOSITE,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,,,,,
gbm_and_composite,21-124527,21-130046,21-130046,21-130046,GPM de Nantes - St Nazaire,NAME_FALLBACK,28,2021-09-16,2021-09-29,0.4270696452036793,Mise en oeuvre d'un logiciel de gestion des bordées.,Mise en oeuvre d'un logiciel de gestion des bordées.,48332000.0,DIGITAL_ICT,True,1.0000000000000004,1.0,0.0801576872536137,0.6,0.7300394218134036,0.4858591373128311,0.4447836692120347,2,LINKED,LINKED,GBM_AND_COMPOSITE,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,,,,,
gbm_borderline_score,19-113409,20-37796,20-37796,,Communauté d'agglomération du Niortais,NAME_FALLBACK,13,2019-07-19,2020-03-12,7.7858081471747695,"Mission de conception et suivi de la réalisation de la scénographie du centre d'interprétation, sur le site Port-Boinot à Niort, dénommé "" Séchoir 3.0 ""","La présente consultation a pour objet :-La réalisation de prestations de Tierce Maintenance Applicative des sites intranet de la Communauté d'Agglomération du Niortais, de la Ville de Niort et d",,DIGITAL_ICT,True,0.15294155665177,0.1,0.7098116513359615,0.6,0.3209824576621098,0.2736644013650423,0.3209824576621098,1,LINKED,NOT_LINKED,GBM_BORDERLINE_SCORE,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,,,,,
gbm_borderline_score,20-29934,20-143279,20-143279,,Ville de Nantes,NAME_FALLBACK,36,2020-02-28,2020-12-08,9.32982917214192,"fourniture de vêtements et chaussures pour les agents de la police municipale, de la police métropolitaine des transports en commun et du service stationnement sur voirie","mise en oeuvre d'une solution logicielle de conception assistée par ordinateur métal et bois, maintenance et prestations associées",35811200.0,DIGITAL_ICT,True,0.0178056845964585,0.1,0.2717915024091107,0.6,0.1641798652110381,0.2803225407694824,0.1641798652110381,1,LINKED,NOT_LINKED,GBM_BORDERLINE_SCORE,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,,,,,
gbm_borderline_score,21-99109,22-2872,22-2872,,Centre Hospitalier de Laval (53),NAME_FALLBACK,7,2021-07-18,2022-01-06,5.650459921156373,Fourniture de tous matériels en lien avec l'informatique,Maitrise d'oeuvre (MOE) pour la restructuration du service informatique et la création d'une salle de prélèvement de cornée au Centre Hospitalier de Laval,30200000.0,DIGITAL_ICT,True,0.0266967980399462,0.1,0.6057818659658345,0.6,0.2507893458054397,0.247999903480474,0.2507893458054397,1,LINKED,NOT_LINKED,GBM_BORDERLINE_SCORE,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,,,,,
gbm_borderline_score,25-129855,26-55163,26-55163,,CHU NANTES,NAME_FALLBACK,3,2025-11-24,2026-06-04,6.307490144546649,Prestation de transcription et rédaction de procès-verbaux à partir de fichiers sons numériques pour le compte du CHU de Nantes,Tierce maintenance applicative des logiciels PRENEONAT et PEDIALOG au CHU de Nantes (2 lots),,DIGITAL_ICT,False,0.1107473958160454,0.1,0.0527814279456855,0.6,0.1419569455220372,0.2399428764432565,0.1419569455220372,1,LINKED,NOT_LINKED,GBM_BORDERLINE_SCORE,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,,,,,
gbm_only,16-110202,17-129931,17-129931,,CMAR PAYS DE LA LOIRE,NAME_FALLBACK,9,2016-07-25,2017-09-17,13.76478318002628,"Applicatifs informatiques pour la gestion du centre de formalités des entreprises, du répertoire des métiers et des contrats d'apprentissage","Marché de fourniture et maintenance des progiciels métiers, ainsi que la fourniture et la maintenance des logiciels nécessaires au fonctionnement de ces logiciels métiers",,DIGITAL_ICT,True,0.1246707629615772,0.1,0.6605343845816907,0.6,0.2987683631819747,0.3127825554475726,0.2987683631819747,1,LINKED,NOT_LINKED,GBM_ONLY,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,,,,,
gbm_only,17-16255,18-8280,18-8280,,LA ROCHE-SUR-YON AGGLOMERATION,NAME_FALLBACK,13,2017-02-06,2018-01-20,11.4323258869908,convention de mandat de maîtrise d'ouvrage pour la construction d'une extension du pôle numérique,Renouvellement des solutions de stockage informatique,,DIGITAL_ICT,True,0.0058868533982202,0.1,0.0856329391151993,0.6,0.1134686334681769,0.3207649307301446,0.1134686334681769,1,LINKED,NOT_LINKED,GBM_ONLY,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,,,,,
gbm_only,20-23104,21-11209,21-11209,,Réseau Canopé,NAME_FALLBACK,6,2020-02-15,2021-01-25,11.33377135348226,20-008 Prestations de conception et développement numériques,"Réalisation, aménagement fonctionnel aux besoins et mise à disposition de la plateforme événementielle In-FINE, configuration et intégration des informations In-FINE, prestations techniques et moye..",72000000.0,DIGITAL_ICT,True,0.0267703044305752,0.2,0.0965834428383706,0.6,0.1535154672602939,0.3696134606834587,0.0046453862950076,2,LINKED,NOT_LINKED,GBM_ONLY,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,,,,,
gbm_only,22-41834,23-31575,23-31575,,Ville de Nantes,NAME_FALLBACK,36,2022-03-22,2023-03-10,11.59658344283837,mise à disposition d'une solution numérique en ligne pour l'organisation d'évènements,rétro-conversion de fiches papier de livres imprimés du service patrimoine,,DIGITAL_ICT,True,0.0,0.1,0.074682435392028,0.6,0.108670608848007,0.3207649307301446,0.108670608848007,1,LINKED,NOT_LINKED,GBM_ONLY,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,,,,,
gbm_small_margin,15-173090,16-70203,16-70203,16-70203,Université de Nantes,NAME_FALLBACK,53,2015-11-16,2016-05-17,6.011826544021025,assistance à maîtrise d'ouvrage pour l'accompagnement dans le montage d'un projet i-site du programme investissement d'avenir 2 (pia 2) Université à Nantes,Accord cadre pour l'assistance méthodologique d'accompagnement du changement,72224000.0,DIGITAL_ICT,True,0.065630527192823,1.0,0.6057818659658345,0.6,0.5344161510089467,0.9492056531169012,0.0280202360181862,10,LINKED,LINKED,GBM_SMALL_MARGIN,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,,,,,
gbm_small_margin,17-74587,18-21245,18-21245,17-157486,Département de la Sarthe,NAME_FALLBACK,52,2017-05-29,2018-02-14,8.5742444152431,"Fourniture, livraison et mise en service régulier d'un outil de gestion du temps de travail pour les agents du Département de la Sarthe y compris prestations et maintenance associées","Acquisition et la mise en oeuvre d'une solution de dématérialisation des marchés publics y compris prestations associées (formation, assistance technique, maintenance)",72212450.0,DIGITAL_ICT,True,0.1393021707271005,0.8,0.5784056066579062,0.6,0.4933571614189617,0.8726010412688325,0.0044507392704189,5,LINKED,LINKED,GBM_SMALL_MARGIN,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,,,,,
gbm_small_margin,19-176963,20-66280,20-66280,20-66280,Angers Loire Métropole,NAME_FALLBACK,61,2020-01-06,2020-05-28,4.697766097240473,"Prestations d'assistance au développement sous typo 3, et maintenance web et prestations complémentaires","acquisition, mise en place et maintenance d'une solution logicielle de gestion de relation clientèle",72212224.0,DIGITAL_ICT,True,0.0335075139354508,0.8,0.7864651773981604,0.6,0.5083439242269479,0.8912071555441062,0.0450983338392401,6,LINKED,LINKED,GBM_SMALL_MARGIN,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,,,,,
gbm_small_margin,22-171933,24-43365,24-43365,24-43365,Le Mans Métropole - Communauté Urbaine,RAW_SIRET,30,2023-01-01,2024-04-14,15.407358738501973,Acquisition de matériels informatiques et techniques pour la Setram,Acquisition de matériels techniques et informatiques pour la SETRAM,39300000.0,DIGITAL_ICT,True,0.5576746382331395,1.0,0.2608409986859396,1.0,0.6603963730530836,0.8476345340916653,0.0424332019272886,9,LINKED,LINKED,GBM_SMALL_MARGIN,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,,,,,
rejected_composite_top_candidate,18-142763,19-8964,,,DEPARTEMENT DE LA SARTHE,NAME_FALLBACK,52,2018-10-11,2019-01-17,3.219448094612352,Accompagnement à l'élaboration et la mise en oeuvre de la politique de sécurité du système d'information du Département de la Sarthe,Prestations d'accompagnement à la mis en place d'un système d'information décisionnel,79311000.0,DIGITAL_ICT,True,0.1444620562708512,0.0,0.7098116513359615,0.6,0.2880146325287883,,0.0015620580640929,9,NOT_LINKED,NOT_LINKED,REJECTED_COMPOSITE_TOP_CANDIDATE,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,,,,,
rejected_composite_top_candidate,21-24367,22-94408,,,COMMUNE DE SAINT NAZAIRE,RAW_SIRET,19,2021-02-24,2022-07-06,16.327201051248355,Acquisition et maintenance des matériels de l'école numérique,Mise à disposition d'une solution de traitement des demandes et des réponses aux Dt-Dict-Atu sur une plateforme dématérialisée,30230000.0,DIGITAL_ICT,True,0.0221137089824776,0.0,0.8247919404292597,1.0,0.3139377832511821,,0.3139377832511821,1,NOT_LINKED,NOT_LINKED,REJECTED_COMPOSITE_TOP_CANDIDATE,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,,,,,
rejected_composite_top_candidate,23-42778,23-65504,,,CHU de Nantes,NAME_FALLBACK,70,2023-04-01,2023-05-14,1.4126149802890933,"Fourniture, Hébergement, Paramétrage, Intégration, Déploiement et Maintenance d'une Solution de Gestion des Activités de l'Unité de Thérapie Cellulaire et Génique (UTCG) du CHU de Nantes","Fourniture, installation et mise en oeuvre d'une solution d'Hypervision du nouvel ensemble hospitalo-universitaire dit 'Projet Ile de Nantes'",72212180.0,DIGITAL_ICT,True,0.0719951852347064,0.6,0.2334647393780113,0.6,0.3235644996766501,,0.0694842618425015,3,NOT_LINKED,NOT_LINKED,REJECTED_COMPOSITE_TOP_CANDIDATE,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,,,,,
rejected_composite_top_candidate,24-81192,24-82336,,,SAEM VENDEE - Vendée Globe,RAW_SIRET,7,2024-07-12,2024-07-14,0.0657030223390276,Suivi des glaces dérivantes pour le Vendée Globe 2024-2025 avec un opérateur économique qui s'engage à être fournisseur officiel de la SAEM Vendée,"Mise à disposition , installation et maintenance d'infrastructrures réseaux et de services de télécommunication pour les villages du Vendée Globe 2024-2024",35631200.0,DIGITAL_ICT,False,0.347533536577847,0.0,0.3374945247481384,1.0,0.306010368989281,,0.306010368989281,1,NOT_LINKED,NOT_LINKED,REJECTED_COMPOSITE_TOP_CANDIDATE,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,,,,,
rejected_far_below,18-103711,18-143391,,,CMAR Pays de La Loire,NAME_FALLBACK,9,2018-07-22,2018-10-14,2.759526938239159,FOURNITURE DE MATERIELS INFORMATIQUES,Prestations de Conseil et de Formation pour les entreprises participant au dispositif régional CAPEA NUMERIQUE - CMAR PDL,30200000.0,DIGITAL_ICT,True,0.0066428210335422,0.0,0.13491020586947,0.6,0.0960525388291072,,0.0960525388291072,1,NOT_LINKED,NOT_LINKED,REJECTED_FAR_BELOW,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,,,,,
rejected_far_below,21-152380,22-137807,,,GIE des EPL de Vendée,NAME_FALLBACK,13,2021-11-17,2022-10-14,10.873850197109066,Location de logiciels de bureautique et d'applications en ligne de messagerie électronique et de travail collaboratif,Mise à disposition d'une solution en ligne de dématérialisation des marchés publics et prestations associées,48200000.0,DIGITAL_ICT,True,0.1438525131569435,0.0,0.1787122207621551,0.6,0.155026434795469,,0.155026434795469,1,NOT_LINKED,NOT_LINKED,REJECTED_FAR_BELOW,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,,,,,
rejected_far_below,25-73236,26-23402,,,Nantes Université,RAW_SIRET,7,2025-07-01,2026-03-08,8.21287779237845,"Accord-cadre relatif aux prestations d’évaluation, d’expertise et d’appui au montage de projets pour Nantes Université","Prestations de maintenance des installations de surete, intrusion, telesurveillance, interphonie et acces automatiques de Nantes Universite",72224000.0,DIGITAL_ICT,False,0.0360269036393845,0.0,0.6386333771353483,1.0,0.2722677605576217,,0.0081577921985913,2,NOT_LINKED,NOT_LINKED,REJECTED_FAR_BELOW,primary_gbm@0.230964__baseline_composite@0.343167,real_boamp_layer1,,,,,
