pair_group,source_notice_id,target_notice_id,source_buyer_key,target_buyer_key,source_cpv_clean,target_cpv_clean,same_buyer_key,same_cpv_clean,same_cpv_division,word_tfidf_cosine,char_ngram_cosine,token_jaccard,key_term_overlap,pipeline_s_text,composite_score,n_candidates_for_source,top1_top2_margin
same_notice_family,17-175340,18-20138,NAME:sdis 85,NAME:sdis 85,71630000,71630000,True,True,True,0.9999999999999999,1.0000000000000002,1.0,1.0,,,,
same_notice_family,21-24782,21-108690,NAME:ch le mans,NAME:ch le mans,50000000,50000000,True,True,True,0.9999999999999999,0.9999999999999999,1.0,1.0,,,,
same_notice_family,21-67894,21-163084,NAME:ca agglomeration du choletais,NAME:ca agglomeration du choletais,43324100,43324100,True,True,True,0.9999999999999997,1.0,1.0,1.0,,,,
same_notice_family,19-158888,19-156324,NAME:ca saumur val de loire,NAME:ca saumur val de loire,65130000,65130000,True,True,True,0.9643465673152932,0.9522111745726809,0.9545454545454546,0.9090909090909091,,,,
same_notice_family,16-155246,17-39,NAME:smirgeom est sarthe,NAME:smirgeom est sarthe,19640000,19640000,True,True,True,1.0000000000000002,0.9999999999999997,1.0,1.0,,,,
same_notice_family,23-135020,24-35657,SIRET:24720013200014,NAME:le mans metropole,71241000,71241000,False,True,True,1.0,1.0000000000000004,1.0,1.0,,,,
same_notice_family,17-54834,17-112071,NAME:commune de saint-nazaire,NAME:commune de saint-nazaire,30230000,30230000,True,True,True,0.9999999999999999,0.9999999999999997,1.0,1.0,,,,
same_notice_family,23-134669,24-13606,SIRET:22720002900014,SIRET:22720002900014,30197630,30197630,True,True,True,0.9999999999999999,0.9999999999999997,1.0,1.0,,,,
same_notice_family,21-164551,22-93186,NAME:ca les sables d olonne agglomeration,NAME:ca les sables d olonne agglomeration,34121000,34121000,True,True,True,0.9999999999999998,1.0,1.0,1.0,,,,
same_notice_family,25-93958,25-126444,NAME:mairie de reze,NAME:mairie de reze,79711000,79711000,True,True,True,1.0000000000000002,1.0,1.0,1.0,,,,
same_notice_family,18-148102,19-23634,SIRET:24720054600023,SIRET:24720054600023,66510000,66510000,True,True,True,1.0,0.9999999999999994,1.0,1.0,,,,
same_notice_family,20-94860,20-74913,NAME:angers loire metropole,NAME:angers loire metropole,30230000,30230000,True,True,True,0.9924555000191785,0.9414452442229553,0.9285714285714286,0.75,,,,
same_notice_family,16-86399,16-96647,NAME:sidaep des mauges et de la gatine,NAME:sidaep des mauges et de la gatine,45262330,45262330,True,True,True,0.9678983329280524,0.8418801064486915,0.8333333333333334,0.6666666666666666,,,,
same_notice_family,21-38188,21-93826,SIRET:22720002900014,SIRET:22720002900014,85311200,85311200,True,True,True,0.9999999999999999,1.0,1.0,1.0,,,,
same_notice_family,21-32848,21-27486,NAME:ville d angers,NAME:ville d angers,,92331210,True,False,False,0.9954352466186464,0.9594484901513239,0.9375,0.6666666666666666,,,,
same_notice_family,16-24217,16-60215,NAME:syndicat mixte du pays de lucon,NAME:syndicat mixte du pays de lucon,71410000,71410000,True,True,True,0.5190084832428644,0.7404439407354849,0.5,0.0,,,,
same_notice_family,19-9038,19-81472,NAME:commune de saint-herblain,NAME:commune de saint-herblain,37400000,37400000,True,True,True,0.9999999999999999,1.0000000000000004,1.0,1.0,,,,
same_notice_family,17-73022,17-153778,NAME:commune olonne sur mer,NAME:commune olonne sur mer,45111100,45111100,True,True,True,0.9999999999999999,1.0,1.0,1.0,,,,
same_notice_family,19-130978,20-36329,NAME:semitan,NAME:semitan,50225000,50225000,True,True,True,1.0000000000000002,1.0000000000000004,1.0,1.0,,,,
same_notice_family,17-139694,17-140487,NAME:epsm de la sarthe,NAME:epsm de la sarthe,71240000,71240000,True,True,True,0.9747958205198062,0.8619395779639647,0.9545454545454546,0.8,,,,
same_notice_family,22-144915,23-49680,NAME:chu de nantes,NAME:chu de nantes,50532000,50532000,True,True,True,1.0000000000000002,1.0000000000000002,1.0,1.0,,,,
same_notice_family,25-55442,25-69868,NAME:ville de nantes,NAME:ville de nantes,45262522,,True,False,False,0.9999999999999999,1.0000000000000002,1.0,1.0,,,,
same_notice_family,20-42677,20-112738,NAME:la roche-sur-yon agglomeration,NAME:la roche-sur-yon agglomeration,43324100,43324100,True,True,True,0.9067806343226265,0.894141080764254,0.85,0.8,,,,
same_notice_family,16-154178,16-161856,NAME:communaute de communes de vallet,NAME:communaute de communes de vallet,66515200,66515200,True,True,True,1.0000000000000002,0.9999999999999988,1.0,1.0,,,,
same_notice_family,22-46636,22-115559,SIRET:22850001300658,SIRET:22850001300658,45234000,45234000,True,True,True,0.9999999999999999,1.0,1.0,1.0,,,,
same_notice_family,25-4160,25-11032,NAME:le mans metropole,NAME:le mans metropole,45111300,45111300,True,True,True,1.0000000000000002,1.0,1.0,,,,,
same_notice_family,16-166528,17-4128,NAME:residences bocage d anjou,NAME:residences bocage d anjou,66512000,66512000,True,True,True,0.9016879939680189,0.8970435620931295,0.8275862068965517,0.8333333333333334,,,,
