dept_primary,NONE,RAW_SIRET_FIELD
1,0.8695652173913043,0.13043478260869565
10,0.0,1.0
11,1.0,0.0
12,1.0,0.0
13,0.5263157894736842,0.47368421052631576
14,0.7755102040816326,0.22448979591836735
16,0.8536585365853658,0.14634146341463414
17,0.7815884476534296,0.2184115523465704
18,0.5918367346938775,0.40816326530612246
19,0.75,0.25
2,0.6666666666666666,0.3333333333333333
20A,1.0,0.0
21,0.4444444444444444,0.5555555555555556
22,0.7385892116182573,0.26141078838174275
23,0.0,1.0
24,0.8,0.2
26,0.3333333333333333,0.6666666666666666
27,0.75,0.25
28,0.7914438502673797,0.20855614973262032
29,0.7430683918669131,0.25693160813308685
3,0.75,0.25
31,0.8571428571428571,0.14285714285714285
33,0.7866666666666666,0.21333333333333335
34,0.6666666666666666,0.3333333333333333
35,0.7313499111900533,0.26865008880994673
36,0.9,0.1
37,0.7417943107221007,0.25820568927789933
38,0.45454545454545453,0.5454545454545454
4,1.0,0.0
40,0.7142857142857143,0.2857142857142857
41,0.6705882352941176,0.32941176470588235
42,0.0,1.0
43,0.0,1.0
44,0.7625517714013289,0.23744822859867107
45,0.6,0.4
46,1.0,0.0
47,0.5,0.5
49,0.7444203976734749,0.2555796023265251
5,0.6666666666666666,0.3333333333333333
50,0.6966292134831461,0.30337078651685395
51,0.6,0.4
52,0.0,1.0
53,0.6992574257425742,0.30074257425742573
54,0.5,0.5
56,0.8306878306878307,0.1693121693121693
57,0.36538461538461536,0.6346153846153846
59,0.8387096774193549,0.16129032258064516
6,0.9,0.1
60,0.5,0.5
61,0.7151248164464024,0.28487518355359764
62,0.6666666666666666,0.3333333333333333
63,1.0,0.0
64,0.7777777777777778,0.2222222222222222
65,0.7777777777777778,0.2222222222222222
66,1.0,0.0
67,0.75,0.25
68,0.6666666666666666,0.3333333333333333
69,0.8051948051948052,0.19480519480519481
7,1.0,0.0
70,1.0,0.0
71,1.0,0.0
72,0.6221776654171389,0.37782233458286113
75,0.764525993883792,0.23547400611620795
76,0.6356589147286822,0.3643410852713178
77,0.8421052631578947,0.15789473684210525
78,0.7,0.3
79,0.735812133072407,0.26418786692759294
8,0.6,0.4
80,0.8,0.2
83,0.7777777777777778,0.2222222222222222
85,0.7099477308553886,0.2900522691446113
86,0.7847222222222222,0.2152777777777778
87,0.7142857142857143,0.2857142857142857
9,1.0,0.0
91,0.6666666666666666,0.3333333333333333
92,0.6341463414634146,0.36585365853658536
93,0.7352941176470589,0.2647058823529412
94,0.6666666666666666,0.3333333333333333
95,0.7142857142857143,0.2857142857142857
971,1.0,0.0
972,0.0,1.0
973,0.3333333333333333,0.6666666666666666
974,1.0,0.0
976,0.0,1.0
986,1.0,0.0
987,0.0,1.0
988,0.75,0.25
99,1.0,0.0
