flag,stratum_dim,stratum_value,rate,n_applicable
identifier_missing,schema_family,EFORMS,0.2292641827373151,10682
identifier_missing,schema_family,LEGACY,0.7997727918205055,73941
duration_missing,schema_family,EFORMS,0.27401235723647255,10682
duration_missing,schema_family,LEGACY,0.9487158680569643,73941
cpv_missing,schema_family,EFORMS,0.0,10682
cpv_missing,schema_family,LEGACY,0.19526379140125236,73941
cpv_generic,schema_family,EFORMS,0.07573488110840666,10682
cpv_generic,schema_family,LEGACY,0.05684261776281089,73941
text_missing,schema_family,EFORMS,0.0,10682
text_missing,schema_family,LEGACY,1.352429639847987e-05,73941
text_generic,schema_family,EFORMS,0.2219621793671597,10682
text_generic,schema_family,LEGACY,0.13546118474438734,73940
award_link_unresolved,schema_family,EFORMS,0.649025069637883,6821
award_link_unresolved,schema_family,LEGACY,0.6826951098676924,51471
identifier_missing,notice_type_normalized,APPEL_OFFRE,0.7485761339463392,58292
identifier_missing,notice_type_normalized,ATTRIBUTION,0.6799202127659575,22560
identifier_missing,notice_type_normalized,OTHER,0.6921241050119332,3771
duration_missing,notice_type_normalized,APPEL_OFFRE,0.8306800247032183,58292
duration_missing,notice_type_normalized,ATTRIBUTION,0.9265514184397163,22560
duration_missing,notice_type_normalized,OTHER,0.9946963670114028,3771
cpv_missing,notice_type_normalized,APPEL_OFFRE,0.21375145817607905,58292
cpv_missing,notice_type_normalized,ATTRIBUTION,0.0714095744680851,22560
cpv_missing,notice_type_normalized,OTHER,0.09732166534075842,3771
cpv_generic,notice_type_normalized,APPEL_OFFRE,0.057692307692307696,58292
cpv_generic,notice_type_normalized,ATTRIBUTION,0.06263297872340426,22560
cpv_generic,notice_type_normalized,OTHER,0.06258286926544683,3771
text_missing,notice_type_normalized,APPEL_OFFRE,1.7155012694709393e-05,58292
text_missing,notice_type_normalized,ATTRIBUTION,0.0,22560
text_missing,notice_type_normalized,OTHER,0.0,3771
text_generic,notice_type_normalized,APPEL_OFFRE,0.11315640493386629,58291
text_generic,notice_type_normalized,ATTRIBUTION,0.1947695035460993,22560
text_generic,notice_type_normalized,OTHER,0.37045876425351365,3771
award_link_unresolved,notice_type_normalized,APPEL_OFFRE,0.6787552322788719,58292
award_link_unresolved,notice_type_normalized,ATTRIBUTION,,0
award_link_unresolved,notice_type_normalized,OTHER,,0
identifier_missing,publication_year,2015,0.9078776041666666,6144
identifier_missing,publication_year,2016,0.9047550845030078,6982
identifier_missing,publication_year,2017,0.9041248606465998,7176
identifier_missing,publication_year,2018,0.8938127090301003,7176
identifier_missing,publication_year,2019,0.8667433243899323,7827
identifier_missing,publication_year,2020,0.8432761796797505,7057
identifier_missing,publication_year,2021,0.8309840065058282,7378
identifier_missing,publication_year,2022,0.472899377593361,7712
identifier_missing,publication_year,2023,0.4399950562353232,8091
identifier_missing,publication_year,2024,0.5077514244070491,7547
identifier_missing,publication_year,2025,0.6060179257362356,7810
identifier_missing,publication_year,2026,0.5774912704807951,3723
duration_missing,publication_year,2015,1.0,6144
duration_missing,publication_year,2016,1.0,6982
duration_missing,publication_year,2017,1.0,7176
duration_missing,publication_year,2018,1.0,7176
duration_missing,publication_year,2019,1.0,7827
duration_missing,publication_year,2020,1.0,7057
duration_missing,publication_year,2021,1.0,7378
duration_missing,publication_year,2022,1.0,7712
duration_missing,publication_year,2023,1.0,8091
duration_missing,publication_year,2024,0.4770107327414867,7547
duration_missing,publication_year,2025,0.35134443021766965,7810
duration_missing,publication_year,2026,0.31936610260542575,3723
cpv_missing,publication_year,2015,0.30126953125,6144
cpv_missing,publication_year,2016,0.280865081638499,6982
cpv_missing,publication_year,2017,0.2583612040133779,7176
cpv_missing,publication_year,2018,0.23522853957636566,7176
cpv_missing,publication_year,2019,0.18934457646607897,7827
cpv_missing,publication_year,2020,0.1823721127958056,7057
cpv_missing,publication_year,2021,0.1312008674437517,7378
cpv_missing,publication_year,2022,0.11099585062240663,7712
cpv_missing,publication_year,2023,0.09665059943146706,8091
cpv_missing,publication_year,2024,0.09076454220219955,7547
cpv_missing,publication_year,2025,0.09334186939820743,7810
cpv_missing,publication_year,2026,0.07923717432178351,3723
cpv_generic,publication_year,2015,0.051920572916666664,6144
cpv_generic,publication_year,2016,0.05428244056144371,6982
cpv_generic,publication_year,2017,0.05950390189520624,7176
cpv_generic,publication_year,2018,0.06270903010033445,7176
cpv_generic,publication_year,2019,0.060942889996167114,7827
cpv_generic,publication_year,2020,0.05781493552501063,7057
cpv_generic,publication_year,2021,0.06261859582542695,7378
cpv_generic,publication_year,2022,0.055238589211618255,7712
cpv_generic,publication_year,2023,0.05005561735261402,8091
cpv_generic,publication_year,2024,0.06227640121902743,7547
cpv_generic,publication_year,2025,0.06862996158770807,7810
cpv_generic,publication_year,2026,0.0679559495030889,3723
text_missing,publication_year,2015,0.0,6144
text_missing,publication_year,2016,0.0,6982
text_missing,publication_year,2017,0.0,7176
text_missing,publication_year,2018,0.0,7176
text_missing,publication_year,2019,0.0,7827
text_missing,publication_year,2020,0.00014170327334561429,7057
text_missing,publication_year,2021,0.0,7378
text_missing,publication_year,2022,0.0,7712
text_missing,publication_year,2023,0.0,8091
text_missing,publication_year,2024,0.0,7547
text_missing,publication_year,2025,0.0,7810
text_missing,publication_year,2026,0.0,3723
text_generic,publication_year,2015,0.022786458333333332,6144
text_generic,publication_year,2016,0.07103981667144085,6982
text_generic,publication_year,2017,0.12973801560758083,7176
text_generic,publication_year,2018,0.1346153846153846,7176
text_generic,publication_year,2019,0.15689280695030025,7827
text_generic,publication_year,2020,0.20408163265306123,7056
text_generic,publication_year,2021,0.17484413120086745,7378
text_generic,publication_year,2022,0.18853734439834025,7712
text_generic,publication_year,2023,0.16302064021752566,8091
text_generic,publication_year,2024,0.16576122962766662,7547
text_generic,publication_year,2025,0.17170294494238156,7810
text_generic,publication_year,2026,0.1426269137792103,3723
award_link_unresolved,publication_year,2015,0.6412196240256763,4362
award_link_unresolved,publication_year,2016,0.6441396005648578,4957
award_link_unresolved,publication_year,2017,0.6652113514586228,5039
award_link_unresolved,publication_year,2018,0.6697910564342902,5121
award_link_unresolved,publication_year,2019,0.644024700326916,5506
award_link_unresolved,publication_year,2020,0.6371019448600128,4679
award_link_unresolved,publication_year,2021,0.6426724995028833,5029
award_link_unresolved,publication_year,2022,0.618683901292597,5106
award_link_unresolved,publication_year,2023,0.7279708197350739,5209
award_link_unresolved,publication_year,2024,0.7093308199811499,5305
award_link_unresolved,publication_year,2025,0.740470545321904,5483
award_link_unresolved,publication_year,2026,0.9058493589743589,2496
identifier_missing,cpv_division,03,0.6620689655172414,290
identifier_missing,cpv_division,09,0.6324435318275154,974
identifier_missing,cpv_division,14,0.4473684210526316,114
identifier_missing,cpv_division,15,0.6816638370118846,1178
identifier_missing,cpv_division,16,0.6224489795918368,196
identifier_missing,cpv_division,18,0.5645472061657033,519
